CWE,Name,Type
CWE-311,Missing Encryption of Sensitive Data,Class
CWE-321,Use of Hard-coded Cryptographic Key,Variant
CWE-323,"Reusing a Nonce, Key Pair in Encryption",Base
CWE-325,Missing Cryptographic Step,Base
CWE-326,Inadequate Encryption Strength,Class
CWE-327,Use of a Broken or Risky Cryptographic Algorithm,Class
CWE-328,Use of Weak Hash,Base
CWE-329,Not Using a Random IV with CBC Mode,Variant
CWE-332,Insufficient Entropy in PRNG,Variant
CWE-335,Incorrect Usage of Seeds in Pseudo-Random Number Generator (PRNG),Base
CWE-336,Same Seed in Pseudo-Random Number Generator (PRNG),Variant
CWE-337,Predictable Seed in Pseudo-Random Number Generator (PRNG),Variant
CWE-338,Use of Cryptographically Weak Pseudo-Random Number Generator (PRNG),Base
CWE-339,Small Seed Space in PRNG,Variant
CWE-347,Improper Verification of Cryptographic Signature,Base
CWE-759,Use of a One-Way Hash without a Salt,Variant
CWE-760,Use of a One-Way Hash with a Predictable Salt,Variant
CWE-780,Use of RSA Algorithm without OAEP,Variant
CWE-916,Use of Password Hash With Insufficient Computational Effort,Base
CWE-1204,Generation of Weak Initialization Vector,Base
CWE-1240,Use of a Cryptographic Primitive with a Risky Implementation,Base
CWE-1241,Use of Predictable Algorithm in RNG,Base