id,repo_name,url,stars,loc,size,forks_count,issues,created_at,description,archived,educational,outofdate,tag,commit,go_version,contributors
746,raft,https://github.com/hashicorp/raft,8590,584167,2197,1025,47,2013-11-05 00:41:20,Golang implementation of the Raft consensus protocol,f,f,f,v1.7.3,c0dc6a0b2c7e889f31e5ab2f7ed90ceb159acffe,1.20,125
726,prometheus,https://github.com/prometheus/prometheus,58681,7657827,256333,9561,704,2012-11-24 11:14:12,The Prometheus monitoring system and time series database.,f,f,f,v3.4.0,f9a0bc8869fd531fd89ab66e3248b604f38eaca3,1.23.0,1203
713,pipeline,https://github.com/tektoncd/pipeline,8657,7105384,133979,1820,423,2018-08-29 18:21:55,A cloud-native Pipeline resource.,f,f,f,v1.0.0,d9974e2cce817a43c69789161f0824e05a7572af,1.23.0,381
725,prest,https://github.com/prest/prest,4354,436739,17468,294,141,2016-11-22 05:17:05,"pREST (PostgreSQL REST), low-code, simplify and accelerate development, ⚡ instant, realtime, high-performance on any Postgres application, existing or new",f,f,f,v2.0.0-rc2,03937fb164390e66ce86e378abee11ee9b23c484,1.23,75
724,pq,https://github.com/lib/pq,9467,396183,1081,923,331,2012-03-12 18:50:22,Pure Go Postgres driver for database/sql,f,f,f,v1.10.9,2a217b94f5ccd3de31aec4152a541b9ff64bed05,1.13,142
747,rainbond,https://github.com/goodrain/rainbond,5231,4028021,145678,800,49,2017-11-05 09:33:39,Cloud-native and easy-to-use application management platform | 云原生且易用的应用管理平台,f,f,f,v6.3.0-release,49afd390b7f9a9cd6ddedde44f40f97d6d4bab24,1.23.0,51
731,protoactor-go,https://github.com/asynkron/protoactor-go,5225,630248,37143,538,86,2016-04-17 19:08:14,"Proto Actor - Ultra fast distributed actors for Go, C# and Java/Kotlin",f,f,f,0.4.0,49001705a0fefbae5c4ffd0acb8ed39be3eb5292,1.21,96
748,rancher,https://github.com/rancher/rancher,24171,10840870,164528,3041,3120,2014-11-07 20:49:31,Complete container management platform,f,f,f,v2.11.2,d0cd9e19a55ea43375cf4d75bea82dbfd5517707,1.23.4,376
727,prometheus-operator,https://github.com/prometheus-operator/prometheus-operator,9444,3222672,130797,3774,232,2016-09-22 21:38:06,Prometheus Operator creates/configures/manages Prometheus clusters atop Kubernetes,f,f,f,v0.82.2,eed360ad68e120bc841218df180750b3eb6de5a1,1.24,724
745,quorum,https://github.com/ConsenSys/quorum,4727,13067085,189599,1312,86,2016-11-14 05:42:57,A permissioned implementation of Ethereum supporting data privacy,f,f,f,v24.4.1,8585ac91f198ad53977b5293a9dfdf366779b556,1.20,643
736,pulumi,https://github.com/pulumi/pulumi,23089,12432883,165979,1195,2274,2016-10-31 21:02:47,"Pulumi - Modern Infrastructure as Code. Any cloud, any language 🚀",f,f,f,v3.171.0,f3d692d442223b23f7c7b93b1105acacd4efbf21,1.23.0,314
941,Xray-core,https://github.com/XTLS/Xray-core,28607,2139388,6469,4295,36,2020-11-09 11:23:10,"Xray, Penetrates Everything. Also the best v2ray-core, with XTLS support. Fully compatible configuration.",f,f,f,v25.5.16,800b8b50cc01e7c8904e6f58a682db0e9b4f795c,1.24,167
953,boulder,https://github.com/letsencrypt/boulder,5426,3801790,28020,611,183,2014-12-21 00:29:54,"An ACME-based certificate authority, written in Go. ",f,f,f,release-2025-05-20,1b7787a3fc95b9ef0e94cb0f1fb2f2f37bcff332,1.24.0,137
58,argo-workflows,https://github.com/argoproj/argo-workflows,15653,4552919,157194,3301,1219,2017-08-21 18:50:44,Workflow engine for Kubernetes,f,f,f,v3.6.7,8d7dae690e152d19fb40f7affbb68fb783b32172,1.24.2,955
716,podman,https://github.com/containers/podman,26885,8442854,159953,2642,821,2017-11-01 15:01:27,Podman: A tool for managing OCI containers and pods.,f,f,f,v5.5.0,ae55dfc8472d373dd9b6806f0ac7bafca8340633,1.23.3,816
767,rke,https://github.com/rancher/rke,3269,885480,268049,590,43,2017-10-25 23:25:53,"Rancher Kubernetes Engine (RKE), an extremely simple, lightning fast Kubernetes distribution that runs entirely within containers.",f,f,f,v1.8.3,a69e1dcfbb12fa59e92f10922bb6b35d2c6de50f,1.23.0,126
776,runc,https://github.com/opencontainers/runc,12370,838205,23575,2177,347,2015-06-05 23:30:45,CLI tool for spawning and running containers according to the OCI specification,f,f,f,v1.3.0,c252337b37fb54276d3acb90d0a7e696bcfddbff,1.23.0,433
763,revive,https://github.com/mgechev/revive,5164,505110,6566,296,51,2017-07-04 16:36:32,"🔥 ~6x faster, stricter, configurable, extensible, and beautiful drop-in replacement for golint",f,f,f,v1.9.0,57ed899d0ce6ab78ad51cb83e67d2d9d32873eb2,1.23.0,130
950,bfe,https://github.com/bfenetworks/bfe,6188,2809859,48115,947,23,2019-07-31 02:33:55,A modern layer 7 load balancer from baidu,f,f,f,v1.7.0,51ddeee2997c488001992590a0752605b09aea3a,1.21,110
958,concourse,https://github.com/concourse/concourse,7566,7275209,151291,860,121,2014-04-19 20:45:45,Concourse is a container-based continuous thing-doer written in Go.,f,f,f,v7.13.1,8e1775d4d005f1655ce366c9f54f184467707982,1.24,564
774,rqlite,https://github.com/rqlite/rqlite,16621,1545396,9293,738,67,2014-08-23 04:31:18,"The lightweight, distributed relational database built on SQLite",f,f,f,v8.37.0,940ab4a7ddb1436b65fb68863739f2b6656be4b4,1.23.0,52
751,rclone,https://github.com/rclone/rclone,50544,7788275,207176,4516,1152,2014-03-16 16:19:57,"""rsync for cloud storage"" - Google Drive, S3, Dropbox, Backblaze B2, One Drive, Swift, Hubic, Wasabi, Google Cloud Storage, Yandex Files",f,f,f,v1.69.3,99eac6561d2d53e2037c6426864845b94481c411,1.23.0,947
783,sealed-secrets,https://github.com/bitnami-labs/sealed-secrets,8235,236923,42420,705,68,2017-05-29 03:09:47,A Kubernetes controller and tool for one-way encrypted Secrets,f,f,f,v0.29.0,0ed130b86f00473f3d572738f8d745228aedc22d,1.23.7,178
760,resty,https://github.com/go-resty/resty,10889,519659,4052,750,25,2015-08-28 17:48:47,Simple HTTP and REST client library for Go,f,f,f,v2.16.5,1e19d6bc6a102df59e1997a09850d0c0532e7f9a,1.20,121
759,restic,https://github.com/restic/restic,28695,2178485,69092,1605,460,2014-04-27 14:07:58,"Fast, secure, efficient backup program",f,f,f,v0.18.0,7f723603e56655a6fc383dc20e5ee6655e7ed149,1.23.0,440
773,rpcx,https://github.com/smallnest/rpcx,8222,314083,28306,1181,6,2016-05-18 09:34:05,"Best microservices framework in Go, like alibaba Dubbo, but with more features, Scale easily. Try it. Test it. If you feel it's better, use it! 𝐉𝐚𝐯𝐚有𝐝𝐮𝐛𝐛𝐨, 𝐆𝐨𝐥𝐚𝐧𝐠有𝐫𝐩𝐜𝐱!",f,f,f,v1.9.0,d0b58c1c5fe2b6efb68fdf939bd66e3f00ed1164,1.23.0,82
753,redigo,https://github.com/gomodule/redigo,9819,228290,589,1248,24,2012-04-14 04:31:58,Go client for Redis,f,f,f,v1.9.2,4c535aa56d60a1dddd457a8e63caa463bcb5a70b,1.17,78
775,rudder-server,https://github.com/rudderlabs/rudder-server,4188,8415617,324160,333,27,2019-07-19 09:24:38,"Privacy and Security focused Segment-alternative, in Golang and React  ",f,f,f,v1.49.5,7f81399ca4c87f1c7df9447f2cc25cdc5b5ca277,1.24.2,122
790,serving,https://github.com/knative/serving,5735,4295655,101861,1183,197,2018-01-24 22:07:44,"Kubernetes-based, scale-to-zero, request-driven compute",f,f,f,knative-v1.17.1,ed43e5ba26aec389dd7af675acbce46e2f731d7b,1.23.0,322
809,sqlx,https://github.com/jmoiron/sqlx,16924,220442,877,1104,379,2013-01-28 19:40:00,general purpose extensions to golang's database/sql,f,f,f,v1.4.0,bc916999dc0011f5caf1f0d40e898ea9f839f4ea,1.10,90
810,ssh-chat,https://github.com/shazow/ssh-chat,5706,195127,585,419,51,2014-12-10 01:20:44,Chat over SSH.,f,f,f,v1.10,2dd6b20627de8a9ee0cd98668d5608124540d2a9,1.13,62
807,sqlboiler,https://github.com/volatiletech/sqlboiler,6866,583646,11799,551,104,2016-02-21 06:18:25,Generate a Go ORM tailored to your database schema.,f,f,f,v4.19.1,724a9cca900f2344b266e02bbc99d727d937ee29,1.23.0,179
797,slack,https://github.com/slack-go/slack,4772,1036207,2526,1161,108,2015-01-24 14:19:00,"Slack API in Go - community-maintained fork created by the original author, @nlopes",f,f,f,v0.16.0,209ec09999dd963928743f0950590eb35692f95f,1.16,425
787,serf,https://github.com/hashicorp/serf,5947,629420,7302,598,133,2013-10-01 22:12:50,Service orchestration and management tool.,f,f,f,v0.10.2,93c69c072b854e28812e80a803ca769ed1f85999,1.19,142
955,chaos-mesh,https://github.com/chaos-mesh/chaos-mesh,7084,2698150,71088,880,457,2019-09-04 02:29:38,A Chaos Engineering Platform for Kubernetes.,f,f,f,v2.7.2,16792a51f42f3f54d98c30a6b3232e71c18bd7f6,1.20,203
945,authelia,https://github.com/authelia/authelia,23933,4797440,61175,1223,79,2016-12-07 00:56:57,The Single Sign-On Multi-Factor portal for web apps,f,f,f,v4.39.3,c7108b0fb506475d0ddf28a15973467d6dcade70,1.24.0,229
794,skaffold,https://github.com/GoogleContainerTools/skaffold,15339,9450926,157903,1657,815,2018-01-23 18:51:29,Easy and Repeatable Kubernetes Development,f,f,f,v2.16.0,36a6e138ea02ece1d7b55cee04f815faa1d2a807,1.24.1,456
795,skipper,https://github.com/zalando/skipper,3186,3813260,15977,360,317,2015-07-09 09:54:40,"An HTTP router and reverse proxy for service composition, including use cases like Kubernetes Ingress",f,f,f,v0.22.36,066a0a8cd5a128507f0ea6fe610b93d111172bf8,1.23.8,195
824,syncthing,https://github.com/syncthing/syncthing,70481,2996613,123087,4533,383,2013-11-26 09:48:21,Open Source Continuous File Synchronization,f,f,f,v1.29.6,a420e3e8582e1f724201fa76781a559ce641c6f3,1.23.0,363
859,tilt,https://github.com/tilt-dev/tilt,8610,4352430,104255,332,476,2018-08-07 16:00:26,A multi-service dev environment for teams on Kubernetes,f,f,f,v0.34.3,ee356a4d8869fe4ee647f41c6e343a5a2231aa43,1.24.0,100
833,telegraf,https://github.com/influxdata/telegraf,15601,12810718,74384,5645,428,2015-04-01 16:28:44,The plugin-driven server agent for collecting & reporting metrics.,f,f,f,v1.34.4,2956c18ee32df46e10148cc2767d4f25b6b2bf87,1.24.0,1451
852,thanos,https://github.com/thanos-io/thanos,13528,4786667,230306,2166,786,2017-11-01 17:38:03,Highly available Prometheus setup with long term storage capabilities. A CNCF Incubating project.,f,f,f,v0.38.0,40227a15416141d7c4d75223961fb356124f5ef4,1.24,685
856,tidb,https://github.com/pingcap/tidb,38476,46629580,541808,5937,5048,2015-09-06 04:01:52,TiDB is an open source distributed HTAP database compatible with the MySQL protocol ,f,f,f,v9.0.0-beta.1,7aff918dcbfa6facf2adef9ade9961c40f217421,1.23.7,1009
858,tile38,https://github.com/tidwall/tile38,9329,866229,50482,580,153,2016-03-04 23:07:44,Real-time Geospatial and Geofencing,f,f,f,1.34.4,fbf767a62ce3222925ade0d1bacec05f684f792a,1.23.0,65
844,terraform-provider-azurerm,https://github.com/hashicorp/terraform-provider-azurerm,4750,45011231,261358,4773,3487,2017-06-05 20:53:54,Terraform provider for Azure Resource Manager,f,f,f,v4.30.0,3f540156a8ac5ea945b375ebf3568d53b131103a,1.24.1,1981
837,temporal,https://github.com/temporalio/temporal,14122,18123155,110363,981,562,2019-10-16 22:15:35,Temporal service and CLI,f,f,f,v1.27.2,ed81e7c8a77866c9c5f3ef3b34cbb3c8b8c6fc28,1.23.2,228
846,terragrunt,https://github.com/gruntwork-io/terragrunt,8658,3017420,51796,1040,371,2016-05-23 22:17:48,Terragrunt is a thin wrapper for Terraform that provides extra tools for working with multiple Terraform modules.,f,f,f,v0.80.2,e629ad9a755991b9a4e2eca3e6636b6e5095f8c8,1.24,310
838,tendermint,https://github.com/tendermint/tendermint,5801,3979011,150587,2100,19,2014-05-14 23:21:35,⟁ Tendermint Core (BFT Consensus) in Go,f,f,f,v0.34.24,19bd9946e16bd9577dc6bda8c736a458d33d4910,1.18,249
830,task,https://github.com/go-task/task,12835,407775,18628,682,379,2017-02-27 00:46:04,A task runner / simpler Make alternative written in Go,f,f,f,v3.43.3,1c35358fcca6ae3bdcee1ec5ebff6558439a8356,1.23.0,213
855,ticker,https://github.com/achannarasappa/ticker,5247,424555,2252,282,38,2021-01-24 03:50:46,Terminal stock ticker with live updates and position tracking,f,f,f,v5.0.3,d068ccb7d5ec490f8920d0e2f997e57f77336e88,1.23.5,19
966,encore,https://github.com/encoredev/encore,10064,3723982,15201,417,152,2021-02-17 16:33:24,The Cloud Native Development Platform built for Go,f,f,f,v1.47.0,d93297b3750df42af1e7ce34ab8ad7828a0bf737,1.23.0,83
946,autoscaler,https://github.com/kubernetes/autoscaler,8409,24998913,251904,4112,226,2017-04-12 00:03:40,Autoscaling components for Kubernetes,f,f,f,vertical-pod-autoscaler-1.4.0,b634257235d68c15dde9144691eecda47d896d03,1.19,850
237,faas,https://github.com/openfaas/faas,25664,150883,29989,1966,32,2016-12-22 12:51:39,OpenFaaS - Serverless Functions Made Simple,f,f,f,0.27.12,4e20249bc0703954244d4be98eaa6c2bcb68cb83,1.22,184
957,compose,https://github.com/docker/compose,35477,1148203,26621,5394,85,2013-12-09 11:40:58,Define and run multi-container applications with Docker,f,f,f,v2.36.2,e45e58b3ecec43646594fe2410a2d91b2685de7b,1.23.8,213
934,zinx,https://github.com/aceld/zinx,7410,359407,38113,1227,82,2019-01-23 13:15:31,基于Golang轻量级TCP并发服务器框架,f,f,f,v1.2.6,f26f8a894a9c8e4bdf3350d262ddb05fe0af82c5,1.17,71
835,teleport,https://github.com/gravitational/teleport,18534,39373889,1057709,1845,2632,2015-03-02 19:36:00,"Certificate authority and access plane for SSH, Kubernetes, web applications, and databases",f,f,f,v16.5.10,4f13a3e3e754ae753ae9ddcb8b1b68751e2453ee,1.23.9,332
1003,imgproxy,https://github.com/imgproxy/imgproxy,9579,481501,37387,669,72,2017-06-20 13:58:55,Fast and secure standalone server for resizing and converting remote images,f,f,f,v3.28.0,568d8bf55a0410023084810f072e46afbfab652d,1.23.0,110
969,external-dns,https://github.com/kubernetes-sigs/external-dns,8215,3056968,69863,2694,205,2017-02-09 21:34:27,"Configure external DNS servers (AWS Route53, Google CloudDNS and others) for Kubernetes Ingresses and Services",f,f,f,v0.17.0,7e9f14848e983a0d5f5e8eef18c2d86a45200d75,1.24.2,726
971,fission,https://github.com/fission/fission,8645,1625202,59832,788,195,2016-08-19 03:43:56,Fast and Simple Serverless Functions for Kubernetes,f,f,f,v1.21.0,2853498a9854f00d5aae28e6d54521114bcc43b3,1.23.4,177
845,terraformer,https://github.com/GoogleCloudPlatform/terraformer,13632,2290957,69595,1756,63,2019-05-01 22:37:33,CLI tool to generate terraform files from existing infrastructure (reverse Terraform). Infrastructure to Code,f,f,f,0.8.30,a01660c45fadd1e09674b8971239fb6fc262806d,1.24.0,198
1013,kraken,https://github.com/uber/kraken,6351,1485718,6857,430,88,2018-12-06 06:04:35,P2P Docker registry capable of distributing TBs of data in seconds,f,f,f,v0.1.4,78baa5ef5d624f88e8ceb152a2e14239899dc4a9,1.14,44
1011,kitex,https://github.com/cloudwego/kitex,7454,3538527,13668,840,53,2021-07-09 13:49:18,A high-performance and strong-extensibility Golang RPC framework that helps developers build microservices.,f,f,f,v0.13.1,7dbbacab15c835b9636b631c38bc1af2d13a75a7,1.19,99
1012,kompose,https://github.com/kubernetes/kompose,10023,475035,45155,780,28,2016-06-27 21:08:18,Go from Docker Compose to Kubernetes,f,f,f,v1.36.0,ae2a394038ccd5b7d4127b4777183fc9402066c7,1.22.0,143
828,tailscale,https://github.com/tailscale/tailscale,22725,11764716,62229,1812,3458,2020-01-31 22:00:03,"The easiest, most secure way to use WireGuard and 2FA.",f,f,f,v1.84.0,160c11f37850a7e0a50f5efec48cacc333e69a00,1.24.0,285
872,trivy,https://github.com/aquasecurity/trivy,26866,6034931,905166,2564,194,2019-04-11 01:01:07,"Scanner for vulnerabilities in container images, file systems, and Git repositories, as well as for configuration issues",f,f,f,v0.62.1,c75ed2156c8fa801d6998016f46f6b953e8a9556,1.24.2,451
871,trillian,https://github.com/google/trillian,3613,1617057,19932,395,37,2016-05-12 15:37:35,"A transparent, highly scalable and cryptographically verifiable data store.",f,f,f,v1.7.2,e7aca3cc3a83e222540555ca75ecc87cffccdd53,1.23.0,82
874,tsuru,https://github.com/tsuru/tsuru,5127,4880075,74027,541,15,2012-03-05 21:41:08,Open source and extensible Platform as a Service (PaaS).,f,f,f,1.26.4,77c4d1d51a56eb67476b66e5087feb8fe043ddc1,1.22,149
895,velero,https://github.com/vmware-tanzu/velero,9205,5973592,54971,1437,657,2017-08-02 17:22:11,Backup and migrate Kubernetes applications and their persistent volumes,f,f,f,v1.16.1,2eb97fa8b187f9ed0aeb49f216565eddf93a0b08,1.23.0,374
861,tinygo,https://github.com/tinygo-org/tinygo,16245,4119885,12324,955,506,2018-06-07 16:39:19,"Go compiler for small places. Microcontrollers, WebAssembly, and command-line tools. Based on LLVM.",f,f,f,v0.37.0,3e60eeb368f25f237a512e7553fd6d70f36dc74c,1.19,210
866,toxiproxy,https://github.com/Shopify/toxiproxy,11257,196365,3523,464,89,2014-09-04 13:56:38,:alarm_clock: :fire: A TCP proxy to simulate network and system conditions for chaos and resiliency testing,f,f,f,v2.12.0,45c66488b3b6e89437a1c4d732ff48cf98b6f2cc,1.23.0,78
867,traefik,https://github.com/traefik/traefik,54830,4716424,147438,5335,652,2015-09-13 19:04:02,The Cloud Native Application Proxy,f,f,f,v3.4.0,ce42e8501eecd5ff25b333ce651bee731b3134b4,1.23.0,939
1037,owncast,https://github.com/owncast/owncast,10157,769961,943123,1036,195,2020-05-24 00:58:13,Take control over your live stream video by running it yourself.  Streaming + chat out of the box.,f,f,f,v0.2.3,1d439a6430377fd792595fae265eede55ed79563,1.24.0,170
28,Reloader,https://github.com/stakater/Reloader,8554,435486,27557,560,124,2018-07-04 13:42:50,"A Kubernetes controller to watch changes in ConfigMap and Secrets and do rolling upgrades on Pods with their associated Deployment, StatefulSet, DaemonSet and DeploymentConfig – [✩Star] if you're using it!",f,f,f,v1.4.2,d6f407d6f5ccb6a5efa44e978e9c06df41e21b24,1.24.2,167
52,apns2,https://github.com/sideshow/apns2,3087,92212,1373,344,34,2016-01-05 00:56:53,"⚡ HTTP/2 Apple Push Notification Service (APNs) push provider for Go — Send push notifications to iOS, tvOS, Safari and OSX apps, using the APNs HTTP/2 protocol.",f,f,f,v0.25.0,22443bc957912b3edcea972c4103a91e0f95931f,1.15,30
35,VictoriaMetrics,https://github.com/VictoriaMetrics/VictoriaMetrics,14085,8852885,278098,1373,936,2018-09-30 09:58:01,"VictoriaMetrics: fast, cost-effective monitoring solution and time series database",f,f,f,v1.117.1,f26f84cc4fde89293ad77c4367aad881548df338,1.24.3,332
36,WindowsSpyBlocker,https://github.com/crazy-max/WindowsSpyBlocker,4837,148539,38297,370,47,2016-03-04 21:03:47,Block spying and tracking on Windows,f,f,f,4.39.0,20a1a10c6365b5d8c841abd76f93c36717756409,1.17,10
37,Yearning,https://github.com/cookieY/Yearning,8674,235540,447833,2006,145,2017-10-18 14:08:50,🐳 A most popular sql audit platform for mysql ,f,f,f,v3.1.9.1,0b6d500584bf89b9d2e45989085b142eaf0600a9,1.21,18
38,act,https://github.com/nektos/act,63022,781139,10322,1644,282,2019-01-02 19:53:43,Run your GitHub Actions locally 🚀,f,f,f,v0.2.77,35581c5c050dbd32cc987dee9d3c92fb94b7d4fc,1.24,209
66,aws-lambda-go,https://github.com/aws/aws-lambda-go,3722,404076,596,564,113,2017-10-19 21:31:24,"Libraries, samples and tools to help Go developers develop AWS Lambda functions.",f,f,f,v1.48.0,5d812daee71b9ef4b899a3ab760b0e42575f3b8d,1.18,153
60,athens,https://github.com/gomods/athens,4567,400824,86093,515,155,2018-02-25 20:19:41,A Go module datastore and proxy,f,f,f,v0.16.0,b3385594448597a89ef9b186d7e59bedd778c683,1.23.5,215
61,atlantis,https://github.com/runatlantis/atlantis,8262,2518907,57845,1109,706,2018-02-06 20:28:06,Terraform Pull Request Automation,f,f,f,v0.34.0,551b4d057bfe9017c3d16c889d46ff7088e7a160,1.24.1,445
41,age,https://github.com/FiloSottile/age,18922,168851,1500,553,40,2019-05-18 20:44:54,"A simple, modern and secure encryption tool (and Go library) with small explicit keys, no config options, and UNIX-style composability.",f,f,f,v1.2.1,482cf6fc9babd3ab06f6606762aac10447222201,1.19,52
